feature,category,topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty
Quiz,Kids,Days & Months,Days & Months,How many days are in a week?,5,6,7,8,7,easy
Quiz,Kids,Days & Months,Days & Months,What day comes after Monday?,Sunday,Tuesday,Wednesday,Friday,Tuesday,easy
Quiz,Kids,Days & Months,Days & Months,What day comes before Friday?,Tuesday,Wednesday,Thursday,Saturday,Thursday,easy
Quiz,Kids,Days & Months,Days & Months,How many months are in a year?,10,11,12,13,12,easy
Quiz,Kids,Days & Months,Days & Months,Which month comes after January?,December,February,March,April,February,easy
Quiz,Kids,Days & Months,Days & Months,Which month comes before December?,October,November,January,September,November,easy
Quiz,Kids,Days & Months,Days & Months,What is the first day of the week?,Monday,Sunday,Tuesday,Saturday,Monday,easy
Quiz,Kids,Days & Months,Days & Months,What is the last day of the week?,Friday,Saturday,Sunday,Monday,Sunday,easy
Quiz,Kids,Days & Months,Days & Months,Which month has Christmas?,November,December,January,October,December,easy
Quiz,Kids,Days & Months,Days & Months,How many days are in January?,28,29,30,31,31,easy
Quiz,Kids,Days & Months,Days & Months,Which month is the shortest?,January,February,March,April,February,easy
Quiz,Kids,Days & Months,Days & Months,What is the first month of the year?,December,November,January,February,January,easy
Quiz,Kids,Days & Months,Days & Months,What day comes after Sunday?,Monday,Tuesday,Wednesday,Thursday,Monday,easy
Quiz,Kids,Days & Months,Days & Months,How many weekend days are there?,1,2,3,4,2,easy
Quiz,Kids,Days & Months,Days & Months,Which month comes after June?,May,July,August,September,July,easy
Quiz,Kids,Days & Months,Days & Months,What month comes after February?,January,March,April,May,March,easy
Quiz,Kids,Days & Months,Days & Months,Which day comes before Wednesday?,Monday,Tuesday,Thursday,Friday,Tuesday,easy
Quiz,Kids,Days & Months,Days & Months,How many days does February usually have?,27,28,29,30,28,easy
Quiz,Kids,Days & Months,Days & Months,What month comes before August?,June,July,September,October,July,easy
Quiz,Kids,Days & Months,Days & Months,Which is a weekend day?,Monday,Tuesday,Saturday,Wednesday,Saturday,easy
Quiz,Kids,Days & Months,Days & Months,What comes after Wednesday?,Tuesday,Thursday,Friday,Saturday,Thursday,easy
Quiz,Kids,Days & Months,Days & Months,How many school days are in a week?,3,4,5,6,5,easy
Quiz,Kids,Days & Months,Days & Months,Which month has New Year's Day?,December,January,February,November,January,medium
Quiz,Kids,Days & Months,Days & Months,What day comes after Saturday?,Friday,Sunday,Monday,Tuesday,Sunday,easy
Quiz,Kids,Days & Months,Days & Months,Which month comes after September?,August,October,November,December,October,easy
Quiz,Kids,Days & Months,Days & Months,How many working days are typically in a week?,3,4,5,6,5,easy
Quiz,Kids,Days & Months,Days & Months,What month comes before May?,March,April,June,July,April,easy
Quiz,Kids,Days & Months,Days & Months,Which day starts the work week?,Saturday,Sunday,Monday,Tuesday,Monday,easy
Quiz,Kids,Days & Months,Days & Months,Which month has 30 days?,February,January,April,None,April,medium
Quiz,Kids,Days & Months,Days & Months,What comes after November?,October,December,January,September,December,easy
Quiz,Kids,Days & Months,Days & Months,Which is a weekday?,Sunday,Saturday,Monday,Both,Monday,easy
Quiz,Kids,Days & Months,Days & Months,How many full weeks are in a month?,2,3,4,5,4,medium
Quiz,Kids,Days & Months,Days & Months,Which month is in the middle of the year?,June,July,August,May,July,medium
Quiz,Kids,Days & Months,Days & Months,What day comes before Sunday?,Monday,Saturday,Friday,Thursday,Saturday,easy
Quiz,Kids,Days & Months,Days & Months,Which month comes after October?,September,November,December,August,November,easy
Quiz,Kids,Days & Months,Days & Months,How many days in a weekend?,1,2,3,4,2,easy
Quiz,Kids,Days & Months,Days & Months,What month comes before October?,August,September,November,July,September,easy
Quiz,Kids,Days & Months,Days & Months,Which comes first: March or May?,March,May,April,June,March,easy
Quiz,Kids,Days & Months,Days & Months,What day is between Tuesday and Thursday?,Monday,Wednesday,Friday,Saturday,Wednesday,easy
Quiz,Kids,Days & Months,Days & Months,Which month has Halloween?,September,October,November,December,October,medium
Quiz,Kids,Days & Months,Days & Months,How many months start with 'J'?,1,2,3,4,3,hard
Quiz,Kids,Days & Months,Days & Months,What comes after April?,March,May,June,July,May,easy
Quiz,Kids,Days & Months,Days & Months,Which is the last month of the year?,November,December,January,October,December,easy
Quiz,Kids,Days & Months,Days & Months,What day is in the middle of the week?,Tuesday,Wednesday,Thursday,Friday,Wednesday,medium
Quiz,Kids,Days & Months,Days & Months,Which month comes before June?,April,May,July,August,May,easy
Quiz,Kids,Days & Months,Days & Months,How many days are from Monday to Friday?,3,4,5,6,5,easy
Quiz,Kids,Days & Months,Days & Months,Which month comes after August?,July,September,October,November,September,easy
Quiz,Kids,Days & Months,Days & Months,What is the 7th day of the week?,Friday,Saturday,Sunday,Monday,Sunday,medium
Quiz,Kids,Days & Months,Days & Months,Which month has only 28 days normally?,January,February,March,April,February,easy
Quiz,Kids,Days & Months,Days & Months,What comes after Friday?,Thursday,Saturday,Sunday,Monday,Saturday,easy
